index,address,Trzaskowski_first,Nawrocki_first,Trzaskowski_second,Nawrocki_second
5880,"Ochotnicza Straż Pożarna w Brzeszczach, ul. Piastowska 39, 32-620 Brzeszcze",364,433,520,744
5888,"Ochotnicza Straż Pożarna w Dańkowie, Dańków 6, 96-230 Biała Rawska",90,351,172,643
5891,"Ochotnicza Straż Pożarna w Dąbrowie-Moczydłach, Dąbrowa-Moczydły 34, 18-210 Szepietowo",43,408,88,695
5963,"Ochotnicza Straż Pożarna w Skułach, Bartoszówka ul. Strażacka 9, 96-321 Żabia Wola",222,354,423,668
5994,"Ochotnicza Straż Pożarna w Zaborowie, ul. Stołeczna 180, 05-083 Zaborów",528,376,837,729
6017,"Ochotnicza Straż Pożarna, Nienadówka 300, 36-052 Nienadówka",98,836,222,394
6037,"Ochotnicza Straż Pożarna, ul. Podporucznika Zbigniewa Kruszelnickiego ""Wilka"" 49, 25-669 Kielce",201,461,371,786
6042,"Ochotnicza Straż Pożarna, ul. Tadeusza Kościuszki 3, 43-400 Cieszyn",829,390,1379,807
6044,"Ochotnicza Straż Pożarna, ul. Warszawska 2, 96-313 Jaktorów",366,401,608,720
6048,"Oddział Edukacji Kulturalnej i Regionalnej Miejskiej i Powiatowej Biblioteki Publicznej w Kolbuszowej, ul. Piekarska 17, 36-100 Kolbuszowa",339,440,512,807
6069,"Oddział Szkoły Podstawowej nr 221, ul. Żelazna 71, 00-871 Warszawa",664,192,76,391
6070,"Oddział Szkoły Podstawowej nr 5, ul. Sikorskiego 20, 05-500 Piaseczno",1940,915,3371,1887
6106,"Oddziały Szkoły Podstawowej Nr 129, os. Osiedle Na Stoku 34, 31-706 Kraków",902,903,1484,1559
6113,"Ognisko Pracy Pozaszkolnej ""70"", ul. Ludwika Narbutta 65/71, 02-524 Warszawa",998,288,1785,529
6114,"Ognisko Pracy Pozaszkolnej nr 1, ul. Kwatery Głównej 11, 04-294 Warszawa",526,206,907,392
6116,"Ogólnokształcąca Szkoła Baletowa, Gdańsk al. Aleja Legionów 3, 80-441 Gdańsk 6",535,225,30,430
6125,"Operator ARP Sp. z o. o., ul. 28 Czerwca 1956 r. 223 - 229, 61-485 Poznań",579,185,25,402
6133,"Osiedlowy Dom Kultury S. M. „Jaroty”, Klub „Akant”, ul. Immanuela Kanta 11, 10-691 Olsztyn",575,299,956,542
6134,"Osiedlowy Dom Kultury w Augustowie, ul. Hoża 2A, 16-300 Augustów",364,463,572,767
6135,"Osiedlowy Dom Kultury, ul. Górnicza 12, 21-010 Łęczna",354,538,611,890
6149,"Ośrodek Dziedzictwa Kulturowego, Stryszawa 263, 34-205 Stryszawa",312,607,488,972
6163,"Ośrodek Kultury Kraków Nowa Huta Klub Dukat, ul. Styczna 1, 31-764 Kraków",306,404,577,712
6166,"Ośrodek Kultury Kraków-Nowa Huta, Klub Zakole, ul. Zakole 31, 31-763 Kraków",268,236,588,545
6178,"Ośrodek Kultury i Sportu, ul. Rydułtowska 7, 44-293 Gaszowice",233,318,402,622
6181,"Ośrodek Kultury i Turystyki, ul. św. Jana 12, 88-170 Pakość",442,322,633,621
6188,"Ośrodek Kultury w Kątach Węgierskich, Kąty Węgierskie ul. Kościelna 22, 05-126 Nieporęt",359,257,595,544
6196,"Ośrodek Kultury w Wiśniowej, Wiśniowa 136, 38-124 Wiśniowa",113,378,208,671
6203,"Ośrodek Kultury, ul. 20 Października 30, 63-000 Środa Wielkopolska",502,308,886,585
6206,"Ośrodek Kultury, ul. Jana III Sobieskiego 97, 62-030 Luboń",607,240,988,503
6219,"Ośrodek Pomocy Społecznej Dzielnicy Bemowo, ul. gen. Tadeusza Pełczyńskiego 26, 01-471 Warszawa",1586,533,864,1244
6240,"Ośrodek Pomocy Społecznej, ul. Ludwika Michała Paca 42, 04-386 Warszawa",426,255,789,435
6250,"Ośrodek Postaw Twórczych Zamek, pl. Świętojański 1, 54-076 Wrocław",549,329,933,645
6251,"Ośrodek Postaw Twórczych Zamek, ul. Działkowa 15, 50-538 Wrocław",730,238,205,487
6255,"Ośrodek Rehabilitacji Dzieci Niepełnosprawnych, ul. Jana Pawła II 64/66, 97-200 Tomaszów Mazowiecki",524,510,829,888
6273,"Ośrodek Sportu i Rekreacji Hala ""Milenium"", ul. Kazimierza Wielkiego 28, 96-200 Rawa Mazowiecka",376,459,585,781
6274,"Ośrodek Sportu i Rekreacji Hala ""Tatar"", ul. Tatar 1A, 96-200 Rawa Mazowiecka",449,410,725,703
6275,"Ośrodek Sportu i Rekreacji m. st. Warszawy w Dzielnicy Mokotów, ul. Niegocińska 2A, 02-698 Warszawa",503,235,925,396
6281,"Ośrodek Sportu i Rekreacji w Sokółce, ul. Mariańska 31, 16-100 Sokółka",328,445,538,827
6300,"Ośrodek Wsparcia dla Osób z Niepełnosprawnością „Benjamin”, ul. Zbożowa 22a, 20-827 Lublin",883,563,1444,1083
6301,"Ośrodek Wsparcia i Integracji ""Maja"", ul. Belgradzka 33, 02-793 Warszawa",715,300,158,456
6305,"Ośrodek Zdrowia w Nowym Gralewie, Nowe Gralewo 13A, 09-166 Nowe Gralewo",97,410,191,769
6317,"PGNiG Obrót Detaliczny sp. z o. o. Region Dolnośląski-budynek G, ul. Gazowa 3, 50-513 Wrocław",814,279,771,679
6320,"PKP Polskie Linie Kolejowe S. A. Zakład Linii Kolejowych w Lublinie Sekcja Eksploatacji, ul. Nowy Świat 31a, 20-418 Lublin",277,304,539,614
6322,"POL-Kres Edwood, ul. 61 Lotniczego Pułku Szkolno-Bojowego 3, 21-500 Biała Podlaska",151,291,298,682
6331,"Park Naukowo-Technologiczny Silesia, ul. Gawronów 4, 40-527 Katowice",60,210,693,450
6334,"Pasaż CEGIELNIA, ul. Ceramiczna 2, 87-100 Toruń",444,245,782,535
6337,"Pawilon Centrum Rekreacji, Zembrzyce 584, 34-210 Zembrzyce",300,433,445,736
6350,"Pałac Kultury i Nauki, wejście od pływalni Pałacu Młodzieży, pl. Plac Defilad 1, 00-110 Warszawa",986,477,871,839
6357,"Pałac pod Dębami w Zalasowej, ul. Kościelna 5, 33-159 Zalasowa",112,355,196,717
6358,"Pałac w Gaworzycach, ul. Dworcowa 95, 59-180 Gaworzyce",178,365,320,655
6361,"Pałac w Kozach /czytelnia, ul. Krakowska 5, 43-340 Kozy",518,492,857,865
6365,"Pałac Ślubów, pl. Plac Zamkowy 6, 00-277 Warszawa",480,332,860,530
6374,"Państwowa Akademia Nauk Stosowanych, ul. Piotra Skargi 5, 67-200 Głogów",614,296,20,681
6380,"Państwowa Szkoła Muzyczna I i II stopnia im. F. Chopina, ul. Nawojowska 213, 33-300 Nowy Sącz",326,664,499,75
6394,"Państwowa Szkoła Muzyczna, ul. Tadeusza Kościuszki 23, 34-600 Limanowa",250,461,367,742
6395,"Państwowa Uczelnia Zawodowa im. prof. Edwarda Franciszka Szczepanika, ul. Teofila Noniewicza 10, 16-400 Suwałki",229,297,373,633
6400,"Państwowe Liceum Sztuk Plastycznych im. Piotra Potworowskiego w Poznaniu, ul. Junikowska 35, 60-163 Poznań",1225,415,1027,833
6407,"Pensjonat dla Osób Starszych i z Niepełnosprawnościami, ul. Henryka Michała Kamieńskiego 190, 51-124 Wrocław",502,274,887,530
6413,"Plac Farski, ul. Lędzińska 88, Lędziny, ul. Lędzińska 88, 43-140 Lędziny",349,686,626,1264
6445,"Politechnika Poznańska, ul. Jana Pawła II 28, 61-131 Poznań",256,235,126,837
6446,"Politechnika Warszawska, Wydział Elektroniki i Technik Informacyjnych, ul. Nowowiejska 15/19, 00-665 Warszawa",833,398,424,661
6447,"Politechnika Wrocławska Budynek F -13, ul. Czerwonego Krzyża 2, 50-345 Wrocław",422,239,867,424
6452,"Politechnika Śląska Centrum Badań nad Edukacją i Komunikacją, ul. Hutnicza 9 - 9A, 44-100 Gliwice",415,275,722,614
6456,"Polska Akademia Nauk Oddział w Gdańsku, Gdańsk ul. Jaśkowa Dolina 31, 80-286 Gdańsk 6",604,226,969,384
6457,"Polska Izba Inżynierów Budownictwa, ul. Kujawska 1, 00-793 Warszawa",524,181,969,304
6462,"Polskie Stowarzyszenie na Rzecz Osób z Niepełnosprawnością Intelektualną Koło w Mielcu, ul. Wojsławska 278, 39-300 Mielec",223,443,413,815
6465,"Polskie Stowarzyszenie na rzecz Osób z Niepełnosprawnością Intelektualną Koło w Olkuszu, ul. Kosynierów 12, 32-300 Olkusz",421,450,696,743
6475,"Pomorskie Centrum Reumatologiczne im. dr Jadwigi Titz-Kosko Zakład Rehabilitacji Leczniczej, pl. Plac Zdrojowy 3, 81-720 Sopot",422,128,801,288
6482,"Poradnia Psychologiczno-Pedagogiczna Nr 21, ul. Marywilska 44, 03-042 Warszawa",577,272,245,739
6485,"Poradnia Psychologiczno-Pedagogiczna nr 16, ul. Siennicka 40, 04-393 Warszawa",603,296,422,684
6486,"Poradnia Psychologiczno-Pedagogiczna nr 4, ul. Mińska 1/5, 03-806 Warszawa",558,246,50,447
6488,"Poradnia Psychologiczno-Pedagogiczna, ul. Jana Zamoyskiego 77, 23-300 Janów Lubelski",276,501,420,807
6490,"Poradnia Psychologiczno-Pedagogiczna, ul. Nowomiejska 10, 16-400 Suwałki",388,408,592,721
6493,"Port Kultury – Sandomierskie Centrum Kultury, ul. Portowa 24, 27-600 Sandomierz",300,351,455,634
6498,"Powiatowa i Miejska Biblioteka Publiczna ""Biblioteka Pod Atlantami"" Multimedialna Filia Biblioteczna, ul. Kasztelańska 7, 58-316 Wałbrzych",1054,521,1527,847
6506,"Powiatowe Centrum Edukacyjno-Rewalidacyjne, ul. Jarosława Iwaszkiewicza 9A, 55-200 Oława",765,290,254,688
6507,"Powiatowe Centrum Kształcenia Praktycznego i Edukacji Zawodowej (wejście od strony ul. Potockich naprzeciw Starej Likierni), ul. Armii Krajowej 51a, 37-100 Łańcut",369,578,595,1066
6533,"Powiatowe Stowarzyszenie Emerytów, Rencistów i Inwalidów w Tomaszowie Mazowieckim, ul. Niebrowska 14, 97-200 Tomaszów Mazowiecki",378,326,629,605
6547,"Powiatowy Młodzieżowy Dom Kultury im. H. Jordana, ul. Gliwicka 36, 42-600 Tarnowskie Góry",703,348,175,688
6563,"Powiatowy Urząd Pracy, ul. Rzeźnicza 12, 41-200 Sosnowiec",820,363,290,678
6567,"Powiatowy Zarząd Dróg w Augustowie, ul. Wojska Polskiego 54, 16-300 Augustów",282,325,505,668
6571,"Powiatowy Zespół Nr 2 Szkół Ogólnokształcących Mistrzostwa Sportowego i Technicznych, ul. gen. Józefa Bema 8, 32-600 Oświęcim",595,461,932,812
6573,"Powiatowy Zespół Placówek Szkolno-Wychowawczych, ul. Królowej Jadwigi 1, 39-300 Mielec",402,315,655,646
6575,"Powiatowy Zespół Poradni Psychologiczno-Pedagogicznych, ul. Ofiar Piaśnicy 22, 84-200 Wejherowo",426,257,782,543
6581,"Powiatowy Zespół Szkół Nr 2 (sala gimnastyczna), ul. Grunwaldzka 57, 84-230 Rumia",515,323,946,677
6582,"Powiatowy Zespół Szkół Nr 2 im. Karola Miarki, ul. Karola Szymanowskiego 12, 43-200 Pszczyna",282,379,488,664
6584,"Powiatowy Zespół Szkół Nr 2, ul. Grunwaldzka 57, 84-230 Rumia",514,291,888,626
6587,"Powiatowy Zespół Szkół w Bieruniu, ul. Granitowa 130, 43-155 Bieruń",327,367,545,657
6590,"Powiatowy Zespół Szkół, ul. Pokoju 4, Lędziny, ul. Pokoju 4, 43-143 Lędziny",153,319,285,651
6595,"Powiatowy Zespół nr 9 Szkół im. Marii Dąbrowskiej w Kętach, ul. Tadeusza Kościuszki 29, 32-650 Kęty",476,360,760,673
6597,"Poznańskie Centrum Świadczeń, ul. Wszystkich Świętych 1, 61-843 Poznań",473,112,904,274
6599,"Pozytywna Szkoła Podstawowa, Gdańsk ul. Azaliowa 18, 80-177 Gdańsk 16",4,338,623,633
6605,"Prom Kultury Saska Kępa, ul. Brukselska 23, 03-973 Warszawa",1434,491,1202,785
6609,"Prywatna Szkoła Języka Angielskiego Eurolingua s. c., ul. Mjr Henryka Hubala-Dobrzańskiego 124, 41-218 Sosnowiec",519,368,826,704
6610,"Prywatna Szkoła Podstawowa Nr 1, ul. Boruty 18, 15-157 Białystok",1079,949,1697,1584
6611,"Prywatna Szkoła Podstawowa Nr 92, ul. Patriotów 347, 04-760 Warszawa",718,397,55,648
6613,"Prywatna Szkoła Podstawowa im. Jana Brzechwy, ul. Harfowa 2, 02-384 Warszawa",734,175,284,358
6615,"Prywatna Szkoła Podstawowa im. Jana Brzechwy, ul. Przy Parku 36, 02-384 Warszawa",957,161,570,408
6616,"Prywatna Szkoła Podstawowa im. Królowej Jadwigi w Lublinie, ul. Wróbla 37, 20-719 Lublin",325,204,640,506
6617,"Prywatna Szkoła Podstawowa nr 92, ul. Patriotów 347, 04-760 Warszawa",658,365,7,688
6624,"Przedsiębiorstwo Energetyki Cieplnej, ul. Świderska 42, 21-400 Łuków",269,397,440,756
6633,"Przedsiębiorstwo KSTU Krakowskie Centrum Terapii Uzależnień, ul. Wielicka 73, 30-552 Kraków",628,347,226,699
6639,"Przedsiębiorstwo Wodociągów i Kanalizacji Sp. z o. o., ul. Leśna 8, 08-110 Siedlce",296,447,559,751
6656,"Przedszkole ""Wesołe Skrzaty"" w Pobiedziskach, ul. Różana 4, 62-010 Pobiedziska",744,292,216,609
6658,"Przedszkole 230 (wejście od ul. Romea i Julii), ul. Szaserów 118A, 04-349 Warszawa",413,235,780,429
6669,"Przedszkole Gminne, Raba Wyżna 29, 34-721 Raba Wyżna",108,333,211,630
6678,"Przedszkole Integracyjne, ul. Władysława IV 143, 75-342 Koszalin",60,331,691,698
6679,"Przedszkole LOKOMOTYWA, ul. Kruszynowa 14, 91-356 Łódź",96,390,635,668
6688,"Przedszkole Miejskie Nr 1 im. Marii Kownackiej, ul. Olszankowa E, 05-120 Legionowo",518,400,923,800
6691,"Przedszkole Miejskie Nr 1, ul. 3 Maja 24b, 21-100 Lubartów",385,430,585,790
6693,"Przedszkole Miejskie Nr 1, ul. Jarzynowa 21, 05-800 Pruszków",567,276,968,598
6706,"Przedszkole Miejskie Nr 11, ul. Zegrzyńska 9, 05-119 Legionowo",737,285,149,570
6713,"Przedszkole Miejskie Nr 13, ul. Antka 7, 05-800 Pruszków",699,420,113,736
6716,"Przedszkole Miejskie Nr 14 w Zamościu, ul. Olchowa 11, 22-400 Zamość",310,458,495,764
6724,"Przedszkole Miejskie Nr 15 w Zamościu, ul. Hetmana Jana Zamoyskiego 4a, 22-400 Zamość",332,427,493,729
6734,"Przedszkole Miejskie Nr 17 ""NIEZAPOMINAJKA"" w Kutnie, ul. Józefa Wybickiego 1, 99-300 Kutno",494,543,738,882
6754,"Przedszkole Miejskie Nr 20 w Zespole Szkolno-Przedszkolnym Nr 3, ul. Pszczyńska 18, 44-100 Gliwice",638,316,1068,626
6755,"Przedszkole Miejskie Nr 20, ul. Władysława Warneńczyka 4, 39-300 Mielec",305,465,506,884
6762,"Przedszkole Miejskie Nr 3 im. Koszałka Opałka, ul. Zegrzyńska 71, 05-119 Legionowo",744,368,195,735
6771,"Przedszkole Miejskie Nr 34, ul. Kryptologów 1, 41-216 Sosnowiec",321,249,534,533
6774,"Przedszkole Miejskie Nr 38 w Zespole Szkół Ogólnokształcących Nr 2, ul. Literatów 41, 44-113 Gliwice",911,399,1464,793
6783,"Przedszkole Miejskie Nr 4, ul. Jagiełły 3, 11-500 Giżycko",670,343,940,660
6787,"Przedszkole Miejskie Nr 4, ul. Sucharskiego 19, 14-500 Braniewo",405,164,638,456
6797,"Przedszkole Miejskie Nr 5, hol (I piętro), ul. gen. Stanisława Maczka 11, 10-693 Olsztyn",652,208,145,518
6798,"Przedszkole Miejskie Nr 5, sala kraina uśmiechu (parter), ul. gen. Stanisława Maczka 11, 10-693 Olsztyn",594,194,20,473
6802,"Przedszkole Miejskie Nr 5, ul. Piękna 12, 07-410 Ostrołęka",203,358,310,647
6812,"Przedszkole Miejskie Nr 6 w Mińsku Mazowieckim, ul. Warszawska 250/81, 05-300 Mińsk Mazowiecki",570,455,820,1131
6813,"Przedszkole Miejskie Nr 6 w Zamościu, ul. Dolna 4, 22-400 Zamość",342,404,563,721
6818,"Przedszkole Miejskie Nr 6, ul. Szosa Chełmińska 130, 87-100 Toruń",607,261,974,471
6822,"Przedszkole Miejskie Nr 8, ul. Chabrowa 49, 87-100 Toruń",721,398,52,592
6823,"Przedszkole Miejskie Nr 8, ul. Mostowa 2, 05-800 Pruszków",546,411,958,771
6825,"Przedszkole Miejskie Nr 8, ul. Tańskiego 5, 39-300 Mielec",359,430,563,779
6826,"Przedszkole Miejskie Nr 8, ul. Uchodźców 34, 42-700 Lubliniec",384,303,683,632
6832,"Przedszkole Miejskie nr 1, ul. Bolesława Krupińskiego 17, 59-300 Lubin",454,646,766,938
6840,"Przedszkole Miejskie nr 12, ul. Jastrzębia 2, 59-300 Lubin",593,516,842,850
6845,"Przedszkole Miejskie nr 13, ul. Stanisława Skalskiego 4, 42-500 Będzin",676,463,1142,797
6846,"Przedszkole Miejskie nr 14 w Starachowicach, ul. Graniczna 10, 27-200 Starachowice",532,433,742,714
6850,"Przedszkole Miejskie nr 14, ul. Sokola 44, 59-300 Lubin",792,573,1114,1000
6859,"Przedszkole Miejskie nr 170, ul. Ks. Jerzego Popiełuszki 13A, 94-052 Łódź",925,225,674,584
6861,"Przedszkole Miejskie nr 18, ul. Konrada Grasera 3, 87-100 Toruń",694,202,395,656
6872,"Przedszkole Miejskie nr 214 z Oddziałami Integracyjnymi, ul. Batalionów Chłopskich 21, 94-058 Łódź",1130,508,1552,754
6885,"Przedszkole Miejskie nr 4, ul. Andrzeja Kmicica 5, 92-433 Łódź",2368,949,1663,1662
6901,"Przedszkole Miejskie nr 7, ul. Osiedlowa 7A, 59-300 Lubin",486,508,696,842
6921,"Przedszkole Niepubliczne ""Bajkolandia"", ul. Uczniowska 1, 58-306 Wałbrzych",755,294,1121,558
6923,"Przedszkole Niepubliczne ""JANOWIACZEK"", ul. Pomorska 27, 84-230 Rumia",715,256,72,494
6942,"Przedszkole Niepubliczne im. Przyjaciół Kubusia Puchatka, ul. Łomaska 70, 21-500 Biała Podlaska",225,411,360,724
6975,"Przedszkole Nr 1, ul. Stefana Batorego 61/63, 96-100 Skierniewice",382,478,649,834
6995,"Przedszkole Nr 13, ul. Armii Krajowej 19, 41-406 Mysłowice",377,284,676,597
7004,"Przedszkole Nr 15, ul. Marcina Stacheckiego-Koliba 3, 98-200 Sieradz",700,662,1084,1083
7014,"Przedszkole Nr 17 w Tychach, ul. Lwa Tołstoja 5, 43-100 Tychy",688,428,851,984
7017,"Przedszkole Nr 175 w Zespole Szkolno-Przedszkolnym Nr 5, ul. Astronautów 5, 02-154 Warszawa",337,168,744,393
7023,"Przedszkole Nr 189 ""Na Wierzbnie"", ul. Teofila Lenartowicza 27, 02-614 Warszawa",491,138,905,278
7025,"Przedszkole Nr 196 ""Kraina Misiów"", ul. Ludwika Nabielaka 18A, 00-743 Warszawa",500,219,915,355
7041,"Przedszkole Nr 2 w Łapach, ul. Cmentarna 23, 18-100 Łapy",366,933,535,1410
7050,"Przedszkole Nr 2, ul. Staroprzygodzka 52, 63-400 Ostrów Wielkopolski",666,307,17,620
7053,"Przedszkole Nr 2, ul. Wrzesińska 49A, 62-200 Gniezno",586,412,1005,724
7056,"Przedszkole Nr 20 ""Zielona Kraina"", ul. Hermana Wróbla 11, 41-100 Siemianowice Śląskie",670,396,1045,686
7059,"Przedszkole Nr 21, ul. Połczyńska 55, 75-808 Koszalin",575,248,935,540
7061,"Przedszkole Nr 214, ul. gen. Waleriana Czumy 6, 01-355 Warszawa",815,343,248,616
7067,"Przedszkole Nr 24, ul. Jana Brzechwy 5, 82-300 Elbląg",1285,641,864,1070
7069,"Przedszkole Nr 25, ul. Cieszyńska 33, 41-800 Zabrze",668,504,1151,1024
7075,"Przedszkole Nr 299 ""Bernardyńskie Krasnale"", ul. Przy Bernardyńskiej Wodzie 13, 02-943 Warszawa",80,418,615,680
7080,"Przedszkole Nr 3 w Tychach, ul. Paprocańska 156, 43-100 Tychy",1170,841,1762,1381
7089,"Przedszkole Nr 3, ul. ks. bp. Władysława Miziołka 52, 05-480 Karczew",661,521,1036,797
7091,"Przedszkole Nr 305, ul. Stefana Bryły 8, 02-685 Warszawa",522,277,890,492
7095,"Przedszkole Nr 330 ""Pod Modrzewiem"", al. Aleja Niepodległości 17, 02-653 Warszawa",922,362,496,616
7100,"Przedszkole Nr 390, ul. Secemińska 1, 01-485 Warszawa",967,402,466,660
7101,"Przedszkole Nr 391, ul. Czerniakowska 20A, 00-714 Warszawa",666,212,48,428
7102,"Przedszkole Nr 4 (sala zajęciowa), ul. Górna 12, 05-825 Grodzisk Mazowiecki",532,296,880,619
7104,"Przedszkole Nr 4 w Olkuszu, ul. Bohaterów Westerplatte 12, 32-300 Olkusz",551,547,867,882
7117,"Przedszkole Nr 4, ul. Władysława Reymonta 7, 83-200 Starogard Gdański",449,415,740,727
7120,"Przedszkole Nr 40, ul. Komorowicka 338, 43-300 Bielsko-Biała",378,362,614,707
7122,"Przedszkole Nr 426, ul. Boguszewska 4, 01-250 Warszawa",662,111,428,432
7125,"Przedszkole Nr 5 w Siemiatyczach, ul. Generała Władysława Andersa 9, 17-300 Siemiatycze",294,335,490,675
7130,"Przedszkole Nr 5, ul. Mikołaja Reja 2, 17-200 Hajnówka",508,295,777,605
7144,"Przedszkole Nr 6, ul. Kardynała Stefana Wyszyńskiego 7, 84-300 Lębork",635,270,939,553
7148,"Przedszkole Nr 67 ""Służewiaczek"", ul. Sonaty 6A, 02-744 Warszawa",793,335,331,560
7156,"Przedszkole Nr 71, ul. Śląska 50/52, 02-462 Warszawa",569,246,1,506
7163,"Przedszkole Nr 8, ul. Jana z Kolna 3, 81-746 Sopot",962,253,448,440
7166,"Przedszkole Nr 8, ul. Zielona 3, 87-300 Brodnica",522,295,768,581
7167,"Przedszkole Nr 82, Gdańsk ul. Damroki 137, 80-177 Gdańsk 16",731,513,1139,1142
7168,"Przedszkole Nr 86, Gdańsk ul. Dywizjonu 303 nr 27, 80-462 Gdańsk 22",1600,634,648,1024
7177,"Przedszkole Publiczne ""Edulica"", ul. Jana Kazimierza 48/U1, 01-248 Warszawa",1381,351,278,1114
7185,"Przedszkole Publiczne Nr 1 im. Marii Konopnickiej, ul. płk. Jana Zientarskiego 3, 26-600 Radom",469,421,727,751
7190,"Przedszkole Publiczne Nr 10 w Łomży, ul. Księżnej Anny 12, 18-400 Łomża",463,769,756,1183
7192,"Przedszkole Publiczne Nr 10, ul. Wołogoska 5, 71-131 Szczecin",722,256,46,407
7193,"Przedszkole Publiczne Nr 11, ul. Osiedle Kasztanowe 54, 70-895 Szczecin",536,370,835,757
7195,"Przedszkole Publiczne Nr 11, ul. Przyjaźni 33, 72-010 Police",616,421,947,729
7201,"Przedszkole Publiczne Nr 14 w Łomży, ul. Hugona Kołłątaja 8, 18-400 Łomża",290,379,403,668
7204,"Przedszkole Publiczne Nr 14, ul. Ks. bpa Władysława Bandurskiego 56, 71-685 Szczecin",703,339,24,571
7210,"Przedszkole Publiczne Nr 18 z Oddziałami Integracyjnymi, ul. Westerplatte Nr 10, 33-100 Tarnów",458,417,722,740
7224,"Przedszkole Publiczne Nr 24, ul. Westerplatte Nr 11, 33-100 Tarnów",571,464,918,867
7228,"Przedszkole Publiczne Nr 3 z Oddziałami Specjalnymi im. Janiny Porazińskiej, ul. Olsztyńska 12, 26-600 Radom",762,763,1203,1223
7237,"Przedszkole Publiczne Nr 37, ul. Jesionowa 8, 45-409 Opole",657,185,41,374
7241,"Przedszkole Publiczne Nr 4, ul. Bielska 23, 45-401 Opole",993,349,1566,611
7255,"Przedszkole Publiczne Nr 5, ul. Zagumnie Nr 27, 33-100 Tarnów",253,518,447,906
7257,"Przedszkole Publiczne Nr 56, ul. Sieradzka 7, 45-304 Opole",700,161,1113,404
7259,"Przedszkole Publiczne Nr 59, ul. Księżnej Zofii 3, 71-665 Szczecin",933,497,1409,813
7268,"Przedszkole Publiczne Nr 8 ""Pod Stokrotką"", ul. Marii Dąbrowskiej Nr 1, 33-100 Tarnów",657,745,1063,1381
7278,"Przedszkole Publiczne TWP ""Pinokio"" w Łomży, ul. Studencka 11, 18-400 Łomża",393,535,613,930
7281,"Przedszkole Publiczne nr 10, ul. Adama Asnyka 6, 47-100 Strzelce Opolskie",311,107,223,416
7282,"Przedszkole Publiczne nr 11, ul. Mazurska 19, 35-620 Rzeszów",515,447,901,893
7290,"Przedszkole Publiczne nr 20, ul. Herkulesa 4, 67-200 Głogów",779,654,1130,1081
7291,"Przedszkole Publiczne nr 21, ul. Jagiellońska 37, 67-200 Głogów",527,448,848,860
7294,"Przedszkole Publiczne nr 28, ul. Obrońców Poczty Gdańskiej 5, 35-509 Rzeszów",437,375,745,758
7298,"Przedszkole Publiczne nr 3, ul. Krośnieńska 15a, 35-505 Rzeszów",564,305,939,699
7302,"Przedszkole Publiczne nr 43, ul. Cicha 5, 35-326 Rzeszów",410,341,681,652
7320,"Przedszkole Publiczne w Łękawicy, Łękawica 281A, 33-157 Skrzyszów",103,593,212,974
7339,"Przedszkole Samorządowe ""Baśniowa Kraina"", ul. Adama Mickiewicza 7, 05-240 Tłuszcz",312,464,539,754
7347,"Przedszkole Samorządowe Nr 1 w Dobczycach, pl. Plac Zgody 9, 32-410 Dobczyce",222,398,399,708
7350,"Przedszkole Samorządowe Nr 1 w Sułkowicach, ul. Kwiatowa 16, 32-440 Sułkowice",109,508,201,841
7351,"Przedszkole Samorządowe Nr 1 w Warce, ul. Armii Krajowej 10, 05-660 Warka",240,410,387,690
7352,"Przedszkole Samorządowe Nr 1, ul. Kawaleryjska 70a, 15-325 Białystok",337,300,626,756
7355,"Przedszkole Samorządowe Nr 2 ""Mali Odkrywcy"" z Oddziałami Integracyjnymi w Szydłowcu, ul. Stanisława Staszica 3a, 26-500 Szydłowiec",203,419,327,699
7359,"Przedszkole Samorządowe Nr 2 w Sułkowicach, ul. 1 Maja 56, 32-440 Sułkowice",261,441,436,839
7364,"Przedszkole Samorządowe Nr 4, os. osiedle 1 Maja 8, 97-400 Bełchatów",237,416,370,718
7370,"Przedszkole Samorządowe Nr 6, ul. Witolda Budryka 12, 97-400 Bełchatów",192,360,312,643
7373,"Przedszkole Samorządowe Nr 71, ul. Dziesięciny 50, 15-806 Białystok",519,456,861,767
7376,"Przedszkole Samorządowe Nr 9 w Chrzanowie, ul. Brzezina 14, 32-500 Chrzanów",752,449,1178,833
7385,"Przedszkole Samorządowe nr 13, ul. Kazimierza Jagiellończyka 17, 21-500 Biała Podlaska",360,406,578,740
7391,"Przedszkole Samorządowe nr 18, ul. Malików 3, 25-639 Kielce",237,463,441,793
7394,"Przedszkole Samorządowe nr 2 w Myślenicach, ul. Kazimierza Wielkiego 123, 32-400 Myślenice",432,490,692,929
7400,"Przedszkole Samorządowe nr 20, ul. Ignacego Paderewskiego 1A, 97-300 Piotrków Trybunalski",487,310,721,592
7401,"Przedszkole Samorządowe nr 24 z Oddziałami Integracyjnymi im. Misia Uszatka, ul. Topolowa 14a, 97-300 Piotrków Trybunalski",379,431,627,774
7403,"Przedszkole Samorządowe nr 26, ul. Piekoszowska 42, 25-625 Kielce",354,308,561,594
7406,"Przedszkole Samorządowe nr 3 im. Robinsona Crusoe, ul. Barwinek 33, 25-150 Kielce",578,362,901,663
7410,"Przedszkole Samorządowe nr 30, ul. Wielkopolska 15, 25-327 Kielce",584,389,976,689
7415,"Przedszkole Samorządowe nr 36, ul. Tujowa 2, 25-209 Kielce",553,471,848,825
