id_first,address,Nawrocki_first,Trzaskowski_first,id_second,Nawrocki_second,Trzaskowski_second
1408095,"Szkoła Podstawowa nr 65, ul. Tomasza Golloba 7, 85-791 Bydgoszcz",202,332,1471302,185,318
1408096,"Szkoła Podstawowa nr 65, ul. Tomasza Golloba 7, 85-791 Bydgoszcz",194,381,1471302,185,318
1408098,"Szkoła Podstawowa nr 67, ul. Marcina Kromera 11, 85-790 Bydgoszcz",258,389,1471305,244,319
1408098,"Szkoła Podstawowa nr 67, ul. Marcina Kromera 11, 85-790 Bydgoszcz",258,389,1471308,244,435
1408098,"Szkoła Podstawowa nr 67, ul. Marcina Kromera 11, 85-790 Bydgoszcz",258,389,1471310,219,404
1408098,"Szkoła Podstawowa nr 67, ul. Marcina Kromera 11, 85-790 Bydgoszcz",258,389,1471315,223,358
1408099,"Szkoła Podstawowa nr 67, ul. Marcina Kromera 11, 85-790 Bydgoszcz",254,526,1471305,244,319
1408099,"Szkoła Podstawowa nr 67, ul. Marcina Kromera 11, 85-790 Bydgoszcz",254,526,1471308,244,435
1408099,"Szkoła Podstawowa nr 67, ul. Marcina Kromera 11, 85-790 Bydgoszcz",254,526,1471310,219,404
1408099,"Szkoła Podstawowa nr 67, ul. Marcina Kromera 11, 85-790 Bydgoszcz",254,526,1471315,223,358
1408101,"Szkoła Podstawowa nr 67, ul. Marcina Kromera 11, 85-790 Bydgoszcz",232,441,1471310,219,404
1408101,"Szkoła Podstawowa nr 67, ul. Marcina Kromera 11, 85-790 Bydgoszcz",232,441,1471315,223,358
1408102,"Szkoła Podstawowa nr 67, ul. Marcina Kromera 11, 85-790 Bydgoszcz",230,516,1471310,219,404
1408102,"Szkoła Podstawowa nr 67, ul. Marcina Kromera 11, 85-790 Bydgoszcz",230,516,1471315,223,358
1408107,"Szkoła Podstawowa nr 27, ul. Sielska 34, 85-790 Bydgoszcz",169,329,1471311,166,419
1408107,"Szkoła Podstawowa nr 27, ul. Sielska 34, 85-790 Bydgoszcz",169,329,1471322,98,68
1408109,"Zespół Szkolno-Przedszkolny nr 4, ul. Wyzwolenia 4, 85-790 Bydgoszcz",320,507,1471316,312,474
1408116,"Szkoła Podstawowa nr 27, ul. Sielska 34, 85-790 Bydgoszcz",168,426,1471311,166,419
1408116,"Szkoła Podstawowa nr 27, ul. Sielska 34, 85-790 Bydgoszcz",168,426,1471322,98,68
1408118,"Zespół Szkół nr 7, ul. Ludwika Waryńskiego 1, 85-320 Bydgoszcz",198,454,1471326,197,452
1408132,"K. S. ""Gwiazda"", ul. Józefa Bronikowskiego 45, 85-350 Bydgoszcz",280,532,1471243,235,374
1408143,"Szkoła Podstawowa nr 63, ul. Seweryna Goszczyńskiego 3, 85-134 Bydgoszcz",255,503,1471352,172,359
1408144,"Szkoła Podstawowa nr 63, ul. Seweryna Goszczyńskiego 3, 85-134 Bydgoszcz",243,646,1471352,172,359
1408148,"Szkoła Podstawowa nr 63, ul. Seweryna Goszczyńskiego 3, 85-134 Bydgoszcz",210,440,1471352,172,359
1408155,"Szkoła Podstawowa nr 12, ul. Kcyńska 49, 85-304 Bydgoszcz",301,785,1471359,221,576
1408159,"Szkoła Podstawowa nr 56, ul. Karpacka 30, 85-164 Bydgoszcz",242,518,1471363,123,306
1408160,"Szkoła Podstawowa nr 56, ul. Karpacka 30, 85-164 Bydgoszcz",253,476,1471363,123,306
1408161,"Szkoła Podstawowa nr 56, ul. Karpacka 30, 85-164 Bydgoszcz",203,464,1471363,123,306
1408162,"Szkoła Podstawowa nr 56, ul. Karpacka 30, 85-164 Bydgoszcz",222,460,1471363,123,306
1408163,"Szkoła Podstawowa nr 56, ul. Karpacka 30, 85-164 Bydgoszcz",236,540,1471363,123,306
1408282,"Szkoła Podstawowa Nr 18, ul. Kardynała Stefana Wyszyńskiego 1/5, 87-100 Toruń",306,415,1471508,297,430
1408313,"Szkoła Podstawowa nr 5, ul. Żwirki i Wigury 1, 87-100 Toruń",355,579,1471542,105,346
1408314,"Szkoła Podstawowa nr 5, ul. Żwirki i Wigury 1, 87-100 Toruń",220,406,1471542,105,346
1408319,"I Liceum Ogólnokształcące, ul. Zaułek Prosowy 1, 87-100 Toruń",92,130,1471547,88,133
1408361,"Szkoła Podstawowa Nr 8, ul. Ignacego Łyskowskiego 28, 87-100 Toruń",235,444,1471596,135,346
1408367,"Szkoła Podstawowa Nr 8, ul. Ignacego Łyskowskiego 28, 87-100 Toruń",195,352,1471596,135,346
1408889,"Gminne Centrum Kultury i Promocji w Godziszowie, Godziszów Trzeci 124A, 23-302 Godziszów",756,22,1472148,191,60
1408898,"Liceum Ogólnokształcące im. Bohaterów Porytowego Wzgórza, ul. Jana Pawła II 1, 23-300 Janów Lubelski",665,228,1472157,57,372
1409152,"Szkoła Podstawowa, Łucka-Kolonia 125, 21-100 Lubartów",242,152,1472420,103,58
1409152,"Szkoła Podstawowa, Łucka-Kolonia 125, 21-100 Lubartów",242,152,1472422,208,72
1409153,"Szkoła Podstawowa, Łucka-Kolonia 125, 21-100 Lubartów",108,30,1472420,103,58
1409223,"Urząd Miejski (sala konferencyjna), ul. Marszałka Józefa Piłsudskiego 22, 23-100 Bychawa",174,89,1472494,163,260
1409250,"Szkoła Podstawowa, Kalinówka 78, 21-040 Świdnik",481,641,1472522,71,139
1409287,"Szkoła Podstawowa, ul. Lubelska 21A, 24-220 Niedrzwica Duża",420,204,1472560,16,498
1409288,"Szkoła Podstawowa, ul. Lubelska 21A, 24-220 Niedrzwica Duża",527,238,1472560,16,498
1409301,"Lokal Szkoły Podstawowej w Niemcach, ul. Szkolna 23, 21-025 Niemce",515,319,1472573,2,568
1409305,"Lokal Szkoły Podstawowej w Krasieninie-Kolonii, Krasienin-Kolonia 39, 21-025 Niemce",619,260,1472577,172,465
1409330,"Gminna Biblioteka Publiczna-Filia Turka, ul. Konwaliowa 3, 20-258 Turka",424,540,1472603,53,1
1409731,"Zespół Szkolno-Przedszkolny, ul. Zamkowa 4, 24-160 Wąwolnica",414,108,1473022,401,86
1409823,"Szkoła Podstawowa Nr 2, ul. 1-go Maja 3, 08-530 Dęblin",172,142,1473128,69,50
1409827,"Szkoła Podstawowa Nr 2, ul. 1-go Maja 3, 08-530 Dęblin",172,136,1473128,69,50
1409937,"Była Szkoła Podstawowa w Woli Piaseckiej, Wola Piasecka 54, 21-050 Piaski",169,55,1473246,149,49
1409958,"Zespół Placówek Oświatowych w Trawnikach, Trawniki 606, 21-044 Trawniki",510,212,1473258,251,143
1409975,"Samorządowy Ośrodek Kultury w Jarczowie, ul. Józefa Piłsudskiego 2A, 22-664 Jarczów",168,54,1473279,85,21
1410054,"Zespół Szkolno-Przedszkolny w Tyszowcach, ul. Kościelna 25, 22-630 Tyszowce",266,56,1473353,258,147
1410235,"Zespół Szkoły Podstawowej i Przedszkola, Kalinowice 148A, 22-400 Zamość",373,308,1473560,342,140
1410239,"Szkoła Podstawowa, Sitaniec 422, 22-400 Zamość",400,225,1473559,276,88
1410276,"Szkoła Podstawowa nr 4, ul. Stanisława Moniuszki 36, 21-500 Biała Podlaska",474,382,1473588,67,689
1410280,"Firma Dariusz Głowacki ""DAGO"", ul. Grzybowa 52B, 21-500 Biała Podlaska",551,354,1473592,37,607
1410353,"Szkoła Podstawowa nr 7 im. ks. Jana Twardowskiego, ul. Plażowa 9, 20-620 Lublin",154,215,1473668,150,231
1410367,"Dzielnicowy Dom Kultury „Węglin”, ul. Judyma 2a, 20-716 Lublin",300,272,1473682,265,343
1410387,"Szkoła Podstawowa nr 38 im. Henryka Sienkiewicza, ul. Pana Wołodyjowskiego 13, 20-627 Lublin",363,441,1473701,294,432
1410400,"Szkoła Podstawowa nr 50 im. Kardynała Stefana Wyszyńskiego, ul. Roztocze 14, 20-722 Lublin",349,513,1473715,321,377
1410460,"Zespół Szkół Ogólnokształcących nr 4 im. Orląt Lwowskich, ul. Kazimierza Tumidajskiego 6a, 20-137 Lublin",443,378,1473772,309,331
1410479,"Szkoła Podstawowa nr 48 im. Józefa Piłsudskiego, ul. Jana Kasprowicza 112, 20-232 Lublin",304,155,1473766,238,111
1410623,"Szkoła Podstawowa nr 3 z Oddziałami Integracyjnymi, ul. Kresowa 48, 66-620 Gubin",253,604,1473972,177,436
1410746,"Szkoła Podstawowa Nr 3, ul. Botaniczna 22, 67-100 Nowa Sól",346,566,1474098,300,392
1410851,"Szkoła Podstawowa nr 3, im. Henryka Sienkiewicza w Drezdenku, ul. Portowa 1, 66-530 Drezdenko",175,180,1474211,98,123
1410855,"Hala Sportowo-Rehabilitacyjna w Drezdenku, ul. Konopnickiej 4, 66-530 Drezdenko",259,398,1474210,241,290
1411170,"Szkoła Podstawowa nr 8, ul. Partyzantów 9, 68-200 Żary",227,501,1474527,225,411
1411287,"Zespół Szkół Ogólnokształcących nr 16, ul. Ksawerego Dunikowskiego 5, 66-400 Gorzów Wielkopolski",307,515,1474658,272,479
