address,Trzaskowski_first,Nawrocki_first,Trzaskowski_second,Nawrocki_second
"Przedszkole Nr 330 ""Pod Modrzewiem"", al. Aleja Niepodległości 17, 02-653 Warszawa",922,362,496,616
"Przedszkole Nr 390, ul. Secemińska 1, 01-485 Warszawa",967,402,466,660
"Przedszkole Nr 391, ul. Czerniakowska 20A, 00-714 Warszawa",666,212,48,428
"Przedszkole Nr 426, ul. Boguszewska 4, 01-250 Warszawa",662,111,428,432
"Przedszkole Nr 67 ""Służewiaczek"", ul. Sonaty 6A, 02-744 Warszawa",793,335,331,560
"Przedszkole Nr 71, ul. Śląska 50/52, 02-462 Warszawa",569,246,1,506
"Przedszkole Nr 8, ul. Jana z Kolna 3, 81-746 Sopot",962,253,448,440
"Przedszkole Nr 86, Gdańsk ul. Dywizjonu 303 nr 27, 80-462 Gdańsk 22",1600,634,648,1024
"Przedszkole Publiczne ""Edulica"", ul. Jana Kazimierza 48/U1, 01-248 Warszawa",1381,351,278,1114
"Przedszkole Publiczne Nr 10, ul. Wołogoska 5, 71-131 Szczecin",722,256,46,407
"Przedszkole Publiczne Nr 14, ul. Ks. bpa Władysława Bandurskiego 56, 71-685 Szczecin",703,339,24,571
"Przedszkole Publiczne Nr 37, ul. Jesionowa 8, 45-409 Opole",657,185,41,374
"Przedszkole Publiczne nr 10, ul. Adama Asnyka 6, 47-100 Strzelce Opolskie",311,107,223,416
"Przedszkole Samorządowe nr 5, os. Osiedle 700-lecia 9, 63-600 Kępno",777,348,77,636
"Przedszkole Ujeścisko Sp. z o. o., Gdańsk ul. Płocka 4, 80-180 Gdańsk 42",985,378,747,711
"Przedszkole nr 126, ul. Wokalna 1, 02-787 Warszawa",904,325,577,607
"Przedszkole nr 148 „Mali Europejczycy”, os. Bolesława Chrobrego 121, 60-681 Poznań",784,285,286,481
"Przedszkole nr 15 „Calineczka”, ul. św. Antoniego 42, 61-359 Poznań",633,249,11,532
"Przedszkole nr 179, ul. Jarocińska 12/14, 04-171 Warszawa",669,353,156,625
"Przedszkole nr 189, os. Bolesława Śmiałego 105, 60-682 Poznań",742,239,274,425
"Przedszkole nr 212, ul. Czesława Ludwika Rybińskiego 2, 01-611 Warszawa",643,255,110,440
"Przedszkole nr 267, ul. Witolda Małcużyńskiego 4, 02-793 Warszawa",1510,271,217,536
"Przedszkole nr 286, ul. Mandarynki 1, 02-796 Warszawa",875,222,425,440
"Przedszkole nr 340, ul. Wojciecha Bogusławskiego 8A, 01-923 Warszawa",1359,592,1114,992
"Przedszkole nr 395, ul. Na Uboczu 9, 02-791 Warszawa",1361,457,1271,642
"Przedszkole nr 400, ul. Eugeniusza Lokajskiego 2, 02-793 Warszawa",796,305,226,498
"Przedszkole nr 412, ul. Pála Telekiego 8, 02-793 Warszawa",956,169,510,415
"Przedszkole nr 416, ul. Syta 123, 02-987 Warszawa",841,147,243,357
"Przedszkole nr 422, ul. Brązownicza 17, 01-929 Warszawa",984,486,470,767
"Przedszkole nr 425, ul. Tadeusza Rechniewskiego 11A, 03-980 Warszawa",772,224,230,415
"Przedszkole nr 436, ul. Sarmacka 4, 02-972 Warszawa",875,131,413,325
"Przedszkole nr 44, ul. Ludna 8, 00-406 Warszawa",900,380,539,624
"Przedszkole nr 44, ul. Tatarczana 4, 81-591 Gdynia",852,362,255,532
"Przedszkole nr 86 „Tęczowy Świat”, ul. Juliusza Słowackiego 15, 60-822 Poznań",515,133,89,293
"Przedszkole nr 87, ul. Jacka Woronieckiego 11, 20-492 Lublin",567,303,11,702
"Przedszkole z Oddziałami Integracyjnymi nr 309, ul. Hansa Christiana Andersena 7, 01-893 Warszawa",559,274,30,469
"Przedszkole z oddziałami integracyjnymi Nr 326 ""Chatka Skrzatka"", ul. Bernardyńska 14, 02-904 Warszawa",931,230,405,431
"Przedszkole z oddziałami integracyjnymi w Glinnie, Glinno ul. Działkowa 30, 64-300 Nowy Tomyśl",648,220,142,547
"Przyjazny Szpital w Połczynie-Zdroju, ul. Szpitalna 5, 78-320 Połczyn-Zdrój",12,9,7,6
"Przystań Lipowa 15, ul. Lipowa 15, 81-572 Gdynia",985,165,491,378
"Publiczna Katolicka Szkoła Podstawowa im. św. Joanny Beretty Molli, ul. Stelmachów 137, 31-349 Kraków",807,234,541,561
"Publiczna Szkoła Podstawowa HEVELIUS, Gdańsk ul. Sucha 29, 80-531 Gdańsk 4",959,299,295,957
"Publiczna Szkoła Podstawowa Nr 14, ul. Szymona Koszyka 21, 45-720 Opole",744,255,173,484
"Publiczna Szkoła Podstawowa Nr 26, ul. Groszowicka 12, 45-517 Opole",904,256,401,492
"Publiczna Szkoła Podstawowa Nr 3, klasa nr 3, ul. Ignacego Krasickiego 25, 46-300 Olesno",403,173,378,637
"Publiczna Szkoła Podstawowa Nr 30, ul. Nyska 1A, 45-940 Opole",891,240,404,530
"Publiczna Szkoła Podstawowa w Dobrej, ul. Poziomkowa 5, 72-003 Dobra",1372,367,1067,757
"Publiczna Szkoła Podstawowa w Dołujach, ul. Daniela 18, 72-002 Dołuje",783,251,358,605
"Publiczna Szkoła Podstawowa, Miłoszyce ul. Główna 24, 55-220 Jelcz-Laskowice",604,383,50,791
"Publiczna Szkoła Podstawowa, ul. Górna 3, 71-218 Bezrzecze",1746,364,603,766
"Publiczna Szkoła Podstawowa, ul. Kolorowa 27, 72-006 Mierzyn",2782,741,2213,1529
"Publiczna Szkoła i Przedszkole MARCO POLO, ul. Zatorska 11, 51-215 Wrocław",576,315,42,585
"Pływalnia Delfin, ul. Marcina Kasprzaka 1/3, 01-211 Warszawa",803,268,531,518
"Rada Osiedla Bukowo, ul. Pokoju 49/U1, 71-739 Szczecin",736,289,130,523
"Rada Osiedla Jagodno, ul. Jagodzińska 15, 52-129 Wrocław",624,217,111,456
"Rada Osiedla Świniary, ul. Pęgowska 14, 51-180 Wrocław",568,291,169,695
"Ratusz, al. Aleja Krakowska 257, 02-133 Warszawa",869,296,187,993
"Remiza OSP w Rokietnicy, ul. Szkolna 18B, 62-090 Rokietnica",790,177,387,463
"Remiza Ochotniczej Straży Pożarnej w Majkowicach, Majkowice 55, 32-120 Nowe Brzesko",19,70,18,104
"Remiza Ochotniczej Straży Pożarnej, ul. Warszawska 15, 05-830 Nadarzyn",648,284,73,644
"Rewir II Dzielnicowych w Jeleniej Górze, ul. Jana Kiepury 32, 58-506 Jelenia Góra",734,262,44,483
"Rzeszowski Dom Kultury, ul. Jana Olbrachta 120, 35-614 Rzeszów",596,558,40,227
"S. B. M. ""WARDOM"", ul. Jana Kochanowskiego 49, 01-864 Warszawa",889,319,404,555
"SAWIMED Sp. z o. o., Sawice-Wieś 19, 08-307 Repki",5,13,2,22
"SP ZOZ Szpital Powiatowy im. Edmunda Biernackiego w Opocznie, ul. Partyzantów 30, 26-300 Opoczno",4,22,2,22
"SP ZOZ Szpital Powiatowy w Lubaczowie, ul. Adama Mickiewicza 168, 37-600 Lubaczów",9,29,8,47
"SP ZZOZ Szpital w Iłży, Iłża ul. Danuty Siedzikówny ""Inki"" 4, 27-100 IŁŻA",6,3,1,9
"SPZOZ Szpital im. dr. J. Dietla, ul. Józefa Ignacego Kraszewskiego 142, 33-380 Krynica-Zdrój",8,12,4,20
"Sala Wystawiennicza w Rewalu, ul. Słowackiego 1, 72-344 Rewal",513,256,184,793
"Sala w budynku przy ul. Damrota 5 w Pilchowicach, ul. Damrota 5, 44-145 Pilchowice",660,343,24,731
"Samodzielny Publiczny Zakład Opieki Zdrowotnej Ministerstwa Spraw Wewnętrznych i Administracji Centrum Rehabilitacji, Górzno 63, 64-120 Krzemieniewo",43,27,40,40
"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Kole, ul. Józefa Poniatowskiego 25, 62-600 Koło",8,7,6,14
"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Kępnie, Szpital w Kępnie, Oddział Leczniczo-Rehabilitacyjny w Grębaninie, Grębanin 97, 63-604 Baranów",12,14,11,33
"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Mławie, ul. Anny Dobrskiej 1, 06-500 Mława",11,10,9,16
"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Nowym Mieście nad Pilicą, ul. Tomaszowska 43, 26-420 Nowe Miasto nad Pilicą",2,13,1,12
"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Sokółce, ul. gen. Władysława Sikorskiego 40, 16-100 Sokółka",10,30,8,43
"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Szamotułach, ul. Sukiennicza 13, 64-500 Szamotuły",10,2,6,7
"Samodzielny Publiczny Zespół Opieki Zdrowotnej w Proszowicach, ul. Mikołaja Kopernika 13, 32-100 Proszowice",16,20,15,30
"Samodzielny Publiczny Zespół Zakładów Opieki Zdrowotnej im. Marszałka Józefa Piłsudskiego w Płońsku, ul. Henryka Sienkiewicza 7, 09-100 Płońsk",21,34,17,48
"Samorządowa Szkoła Podstawowa nr 6, ul. Słowackiego 41, 62-300 Września",630,337,110,725
"Sanatorium Uzdrowiskowe Rolnik w Nałęczowie, ul. Michała Górskiego 14, 24-150 Nałęczów",60,41,59,53
"Siedziba Rady Osiedla Księże, ul. Rybnicka 39-41, 52-016 Wrocław",652,216,253,565
"Specjalistyczne Centrum Medyczne im. św. Jana Pawła II, budynek D, ul. Jana Pawła II 2, 57-320 Polanica-Zdrój",5,7,4,10
"Specjalistyczny Szpital Onkologiczny Nu-Med Sp. z o.o., ul. Jana Pawła II 35, 97-200 Tomaszów Mazowiecki",6,5,5,9
"Specjalny Ośrodek Szkolno-Wychowawczy dla dzieci słabosłyszących nr 15 im. Ottona Lipkowskiego, ul. Twarda 8/12, 00-105 Warszawa",907,403,556,700
"Sportowa Szkoła Podstawowa nr 3 im. Józefa Jaworskiego w Aleksandrowie Łódzkim, ul. Bankowa 7, 95-070 Aleksandrów Łódzki",635,464,46,771
"Społeczny Zespół Przedszkolno-Szkolny 101 w Olsztynie, sala szafirowa (parter), ul. Edwarda Mroza 25, 10-692 Olsztyn",721,325,267,726
"Spółdzielnia Mieszkaniowa ""Pienista"", ul. Kubusia Puchatka 9, 94-119 Łódź",702,223,41,375
"Spółdzielnia Mieszkaniowa w Aleksandrowie Łódzkim, ul. Romana Dmowskiego 1, 95-070 Aleksandrów Łódzki",718,433,158,754
"Stowarzyszenie Domu Opieki „Złota Jesień”, Gdańsk ul. Franciszka Hynka 12, 80-465 Gdańsk 22",18,24,17,31
"Stowarzyszenie Szkoły Gedanensis, Gdańsk ul. Dworska 34, 80-506 Gdańsk 26",940,481,709,874
"Stołeczne Centrum Sportu Aktywna Warszawa, ul. Solec 71, 00-402 Warszawa",636,294,97,424
"Szkoła Muzyczna I Stopnia Nr 1, ul. Pilotów 51, 31-462 Kraków",601,264,43,458
"Szkoła Podstawowa 323, ul. Edwarda Warchałowskiego 4, 02-776 Warszawa",1468,569,275,1000
"Szkoła Podstawowa Hala Sportowa, ul. Żeromskiego 11, 81-198 Kosakowo",627,217,120,525
"Szkoła Podstawowa Integracyjna Nr 317, ul. Deotymy 37, 01-409 Warszawa",746,475,325,753
"Szkoła Podstawowa Integracyjna Nr 339 im. Raoula Wallenberga, ul. św. Bonifacego 10, 02-914 Warszawa",780,355,360,593
"Szkoła Podstawowa Nr 1 im. J. Korczaka w Komornikach, ul. Staszica 25, 62-052 Komorniki",763,197,249,477
"Szkoła Podstawowa Nr 1 im. J. i T. Działyńskich w Plewiskach, ul. Szkolna 64, 62-064 Plewiska",1735,398,926,941
"Szkoła Podstawowa Nr 1 im. ks. prałata Józefa Bigusa, ul. Tuchomska 15, 80-297 Banino",1212,401,1209,1058
"Szkoła Podstawowa Nr 1 w Miliczu, ul. Armii Krajowej 7, 56-300 Milicz",675,394,33,692
"Szkoła Podstawowa Nr 1, ul. Józefa Brandta 22, 05-820 Piastów",652,492,78,854
"Szkoła Podstawowa Nr 1, ul. Konstytucji 3 Maja 20, 43-190 Mikołów",626,303,7,561
"Szkoła Podstawowa Nr 1, ul. Kościelna 6, 84-230 Rumia",770,290,259,657
"Szkoła Podstawowa Nr 1, ul. Władysława Reymonta 80, 41-250 Czeladź",686,233,37,398
"Szkoła Podstawowa Nr 103 im. Bohaterów Warszawy 1939 - 1945, ul. Bolesława Limanowskiego 9, 02-943 Warszawa",890,351,387,598
"Szkoła Podstawowa Nr 11, ul. Legionu Puławskiego 8, 24-100 Puławy",1446,1377,1216,2284
"Szkoła Podstawowa Nr 112, ul. Zaułek 34, 03-289 Warszawa",2025,807,597,1821
"Szkoła Podstawowa Nr 114, ul. Łąkowa 31, 31-443 Kraków",1042,443,297,963
"Szkoła Podstawowa Nr 115 im. Wandy Turowskiej, ul. Okrężna 80, 02-933 Warszawa",898,241,306,387
"Szkoła Podstawowa Nr 118, ul. Leszczynowa 5, 03-197 Warszawa",1436,601,804,1461
"Szkoła Podstawowa Nr 118, ul. Myśliborska 25, 03-185 Warszawa",622,220,145,573
"Szkoła Podstawowa Nr 12, Gdańsk ul. Człuchowska 6, 80-180 Gdańsk 42",3623,1206,1475,2552
"Szkoła Podstawowa Nr 13 im. Władysława Jagiełły, ul. Lipnicka 226, 43-300 Bielsko-Biała",687,446,79,755
"Szkoła Podstawowa Nr 134, ul. Kłuszyńska 46, 30-499 Kraków",929,553,614,1151
"Szkoła Podstawowa Nr 14, ul. Profesora Wojciecha Marii Bartla 29, 30-389 Kraków",1656,700,1277,1716
"Szkoła Podstawowa Nr 14, ul. gen. Kazimierza Sosnkowskiego 10, 02-495 Warszawa",590,234,76,531
"Szkoła Podstawowa Nr 146 im. Janusza Korczaka, ul. Domaniewska 33, 02-672 Warszawa",1313,516,412,970
"Szkoła Podstawowa Nr 15, Gdańsk ul. Mariana Smoluchowskiego 13, 80-214 Gdańsk 6",586,233,54,389
"Szkoła Podstawowa Nr 150, ul. gen. Wiktora Thomméego 1, 01-491 Warszawa",1387,389,1030,814
"Szkoła Podstawowa Nr 156, ul. Centralna 39, 31-586 Kraków",1867,1019,1408,2501
"Szkoła Podstawowa Nr 16 budynek A, ul. Wilczy Dół 4, 02-798 Warszawa",921,227,436,446
"Szkoła Podstawowa Nr 16, ul. Chobolańska 20, 71-023 Szczecin",1737,658,1603,1194
"Szkoła Podstawowa Nr 19, Gdańsk ul. Emilii Hoene 6, 80-041 Gdańsk 7",2612,1032,1181,1887
"Szkoła Podstawowa Nr 190 im. Orła Białego, ul. Zwierzyniecka 10, 00-719 Warszawa",753,358,191,589
"Szkoła Podstawowa Nr 191 im. Józefa Ignacego Kraszewskiego, ul. Bokserska 30, 02-682 Warszawa",1293,419,1160,815
"Szkoła Podstawowa Nr 191 im. Józefa Ignacego Kraszewskiego, ul. Piotra Gruszczyńskiego 12, 02-693 Warszawa",1146,345,883,636
"Szkoła Podstawowa Nr 2 - Ośrodek Rehabilitacji Dzieci Niepełnosprawnych, ul. Michała Hubego 1, 77-400 Złotów",715,260,65,532
"Szkoła Podstawowa Nr 2 im. Chwały Oręża Polskiego w Giżycku, ul. Warszawska 39, 11-500 Giżycko",630,309,43,577
"Szkoła Podstawowa Nr 2 im. Orła Białego w Chotomowie, ul. Partyzantów 23, 05-123 Chotomów",1896,937,1116,1832
"Szkoła Podstawowa Nr 2 w Plewiskach, ul. prof. Wacława Strażewicza 1, 62-064 Plewiska",1581,390,617,874
"Szkoła Podstawowa Nr 2 w Siechnicach, ul. Osiedlowa 2, 55-011 Siechnice",797,374,460,887
"Szkoła Podstawowa Nr 2 z Oddziałami Sportowymi, Gdańsk ul. Heleny Marusarzówny 10, 80-288 Gdańsk 44",4605,1463,2660,2747
"Szkoła Podstawowa Nr 2, ul. Lotnicza 15, 80-297 Banino",1512,509,506,1155
"Szkoła Podstawowa Nr 2, ul. Orłów Piastowskich 47, 02-496 Warszawa",1223,700,989,1328
"Szkoła Podstawowa Nr 2, ul. Sienkiewicza 2, 05-410 Józefów",673,404,130,703
"Szkoła Podstawowa Nr 2, ul. Szkolna 9, 05-270 Marki",1078,863,951,1694
"Szkoła Podstawowa Nr 2, ul. Tysiąclecia 5, 83-000 Pruszcz Gdański",1002,426,579,857
"Szkoła Podstawowa Nr 205 im. Żołnierzy Powstania Warszawskiego, ul. Spartańska 4, 02-637 Warszawa",1562,279,807,446
"Szkoła Podstawowa Nr 21, ul. Batalionu ""Skała"" AK 12, 31-272 Kraków",1655,797,1154,1631
"Szkoła Podstawowa Nr 212 im. Krystyny Krahelskiej, ul. Czarnomorska 3, 02-758 Warszawa",1612,592,877,1180
"Szkoła Podstawowa Nr 23, Gdańsk ul. Opacka 7, 80-330 Gdańsk 5",684,191,160,403
"Szkoła Podstawowa Nr 23, ul. Osikowa 11, 87-100 Toruń",692,232,101,492
"Szkoła Podstawowa Nr 231, ul. Juranda ze Spychowa 10, 03-257 Warszawa",986,468,848,1088
"Szkoła Podstawowa Nr 24, Gdańsk ul. Lilli Wenedy 19, 80-419 Gdańsk 6",624,180,27,353
"Szkoła Podstawowa Nr 24, ul. Piotra Czajkowskiego 11, 35-602 Rzeszów",700,486,216,137
"Szkoła Podstawowa Nr 25, ul. Wyżynna 3, 82-300 Elbląg",664,328,21,669
"Szkoła Podstawowa Nr 257, ul. Podróżnicza 11, 03-111 Warszawa",985,416,598,870
"Szkoła Podstawowa Nr 26 im. Zygmunta Lubertowicza, ul. Złoty Potok 7, 43-300 Bielsko-Biała",776,553,179,895
"Szkoła Podstawowa Nr 260 im. Jana Matejki, ul. Zakrzewska 24 B, 00-737 Warszawa",837,260,481,527
"Szkoła Podstawowa Nr 27 w Zespole Szkolno-Przedszkolnym Nr 13, ul. Rubinowa 16A, 44-121 Gliwice",1860,647,1707,1205
"Szkoła Podstawowa Nr 298 im. Jana Kasprowicza, ul. Krakusa 2, 03-390 Warszawa",815,592,513,1030
"Szkoła Podstawowa Nr 3 (stołówka), ul. Jabłoniowa 23, 75-679 Koszalin",977,250,480,526
"Szkoła Podstawowa Nr 307 im. Króla Jana III Sobieskiego, ul. Barcelońska 8, 02-762 Warszawa",1541,592,377,1013
"Szkoła Podstawowa Nr 316, ul. Stanisława Szobera 1/3, 01-318 Warszawa",1554,815,1385,1353
"Szkoła Podstawowa Nr 321, ul. ppłk. Wacława Szadkowskiego 3, 01-493 Warszawa",1772,854,717,1348
"Szkoła Podstawowa Nr 341, ul. Oławska 3, 01-494 Warszawa",1680,721,1562,1236
"Szkoła Podstawowa Nr 342, ul. Strumykowa 21A, 03-138 Warszawa",2071,690,1289,1416
"Szkoła Podstawowa Nr 35, ul. Świętoborzyców 40 Blok A1 (Aula), 71-665 Szczecin",634,305,17,529
"Szkoła Podstawowa Nr 350, ul. Karola Irzykowskiego 1A, 01-317 Warszawa",1784,808,1619,1337
"Szkoła Podstawowa Nr 355, ul. Ceramiczna 11, 03-126 Warszawa",1329,400,1174,949
"Szkoła Podstawowa Nr 356, ul. Głębocka 66, 03-287 Warszawa",2558,770,1410,1823
"Szkoła Podstawowa Nr 360, ul. Dzieci Warszawy 42, 02-495 Warszawa",745,219,235,536
"Szkoła Podstawowa Nr 362, ul. gen. Waleriana Czumy 8, 01-355 Warszawa",831,489,254,738
"Szkoła Podstawowa Nr 377 im. mjr. Henryka Dobrzańskiego""Hubala"", ul. Trocka 4, 03-563 Warszawa",742,447,151,725
"Szkoła Podstawowa Nr 38, Gdańsk ul. Leśna Góra 2, 80-281 Gdańsk 44",1412,633,185,972
"Szkoła Podstawowa Nr 38, ul. płk. Francesco Nullo 23, 31-543 Kraków",1456,677,1012,1287
"Szkoła Podstawowa Nr 383, ul. Warszawska 63, 02-495 Warszawa",1195,725,925,1279
"Szkoła Podstawowa Nr 39, Gdańsk ul. Obywatelska 1, 80-259 Gdańsk 6",1559,472,826,966
"Szkoła Podstawowa Nr 4 (sala gimnastyczna), ul. Świętojańska 11, 84-230 Rumia",769,320,126,609
"Szkoła Podstawowa Nr 4, ul. Harcerska 9, 05-091 Ząbki",588,282,58,683
"Szkoła Podstawowa Nr 4, ul. Żwirki i Wigury 49, 87-100 Toruń",1061,488,710,844
"Szkoła Podstawowa Nr 40, ul. Pszczelna 13, 30-385 Kraków",2637,1449,2446,2918
"Szkoła Podstawowa Nr 403, ul. Kacpra Karlińskiego 6, 01-262 Warszawa",704,149,401,428
"Szkoła Podstawowa Nr 43, Gdańsk ul. Ludwika Beethovena 20, 80-171 Gdańsk 48",886,403,385,702
"Szkoła Podstawowa Nr 45, Gdańsk ul. Matki Polki 3A, 80-251 Gdańsk 6",569,191,51,374
"Szkoła Podstawowa Nr 46 im. Stefana Starzyńskiego, ul. Wałbrzyska 5, 02-739 Warszawa",824,356,316,583
"Szkoła Podstawowa Nr 46, Gdańsk ul. Arkońska 17, 80-387 Gdańsk 53",655,281,143,488
"Szkoła Podstawowa Nr 47, Gdańsk ul. Reformacka 18, 80-808 Gdańsk 20",969,417,469,732
"Szkoła Podstawowa Nr 48, Gdańsk ul. Zbigniewa Burzyńskiego 10, 80-462 Gdańsk 22",1886,761,927,1230
"Szkoła Podstawowa Nr 48, ul. Czorsztyńska 35, 71-201 Szczecin",3236,1020,3123,2137
"Szkoła Podstawowa Nr 5 im. Ignacego Jana Paderewskiego, ul. Jana Długosza 53, 05-800 Pruszków",669,334,155,740
"Szkoła Podstawowa Nr 5 im. Polskich Noblistów w Śremie, ul. Dezyderego Chłapowskiego 12A, 63-100 Śrem",695,399,41,680
"Szkoła Podstawowa Nr 50, Gdańsk ul. Grobla IV 8, 80-837 Gdańsk 50",649,299,163,507
"Szkoła Podstawowa Nr 53, ul. Skośna 8, 30-383 Kraków",2885,893,2200,2370
"Szkoła Podstawowa Nr 55, ul. Orawska 1, 70-131 Szczecin",667,338,174,636
"Szkoła Podstawowa Nr 56, ul. Aleksandra Fredry 65, 30-605 Kraków",774,618,544,1131
"Szkoła Podstawowa Nr 58 im. Tadeusza Gajcego, ul. Mieszka I 7, 03-886 Warszawa",1162,469,594,1306
"Szkoła Podstawowa Nr 58, Gdańsk ul. Skarpowa 3, 80-145 Gdańsk 48",1678,816,807,1286
"Szkoła Podstawowa Nr 6 im. Braci Barskich w Śremie, ul. Ignacego Paderewskiego 4, 63-100 Śrem",664,390,90,792
"Szkoła Podstawowa Nr 6 im. Henryka Sienkiewicza, ul. Lipowa 31, 05-800 Pruszków",816,425,367,782
"Szkoła Podstawowa Nr 6 z Oddziałami Dwujęzycznymi, ul. Wawel 13, 41-200 Sosnowiec",730,312,134,587
"Szkoła Podstawowa Nr 6, ul. Ambasadorska 1, 05-400 Otwock",588,503,6,849
"Szkoła Podstawowa Nr 6, ul. Gnieźnieńska 3, 75-736 Koszalin",653,339,36,622
"Szkoła Podstawowa Nr 60, Gdańsk ul. Chłopska 64, 80-350 Gdańsk 5",1201,442,1022,847
"Szkoła Podstawowa Nr 65, Gdańsk ul. Śluza 6, 80-770 Gdańsk 50",673,321,218,674
"Szkoła Podstawowa Nr 67, Gdańsk ul. Żabi Kruk 5, 80-822 Gdańsk 50",796,229,481,511
"Szkoła Podstawowa Nr 68, ul. Zakole 1a, 70-454 Szczecin",1341,617,1080,1037
"Szkoła Podstawowa Nr 69, Gdańsk ul. Zielony Trójkąt 1, 80-869 Gdańsk 50",596,320,128,580
"Szkoła Podstawowa Nr 7 im. Adama Mickiewicza, ul. Robotnicza 5, 62-800 Kalisz",753,296,66,573
"Szkoła Podstawowa Nr 7 im. Janusza Korczaka w Giżycku (blok A-stołówka szkolna), ul. Wodociągowa 8, 11-500 Giżycko",736,358,113,697
"Szkoła Podstawowa Nr 72, al. Aleja Modrzewiowa 23, 30-224 Kraków",1455,446,213,779
"Szkoła Podstawowa Nr 74, ul. Seledynowa 50, 70-781 Szczecin",1683,827,1592,1460
"Szkoła Podstawowa Nr 77, Gdańsk ul. Orłowska 13, 80-347 Gdańsk 5",999,456,743,754
"Szkoła Podstawowa Nr 8 im. Władysława Broniewskiego, ul. Obrońców Pokoju 44, 05-800 Pruszków",722,358,385,766
"Szkoła Podstawowa Nr 8, ul. Rodziewiczówny 10, 84-230 Rumia",1147,473,898,1002
"Szkoła Podstawowa Nr 8, ul. Spółdzielcza 9, 43-600 Jaworzno",632,354,24,717
"Szkoła Podstawowa Nr 8, ul. Wincentego Janasa 11, 42-612 Tarnowskie Góry",1820,980,899,1778
"Szkoła Podstawowa Nr 82, Gdańsk ul. Radarowa 26, 80-298 Gdańsk 16",987,325,559,701
"Szkoła Podstawowa Nr 82, ul. Stanisława Konarskiego 20, 01-464 Warszawa",2130,731,443,1374
"Szkoła Podstawowa Nr 83, Gdańsk ul. Stokłosy 1, 80-298 Gdańsk 16",854,454,400,838
"Szkoła Podstawowa Nr 83, al. Tadeusza Boya-Żeleńskiego 32, 51-160 Wrocław",667,289,53,471
"Szkoła Podstawowa Nr 84 im. Waleriana Łukasińskiego, ul. Radzymińska 227, 03-611 Warszawa",1880,1253,1170,2159
"Szkoła Podstawowa Nr 85 im. Benito Juareza, ul. Ludwika Narbutta 14, 02-541 Warszawa",836,337,383,547
"Szkoła Podstawowa Nr 85, Gdańsk ul. Stolema 59, 80-177 Gdańsk 16",2677,570,2035,1362
"Szkoła Podstawowa Nr 86, Gdańsk ul. Wielkopolska 20, 80-180 Gdańsk 42",2148,582,2044,1889
"Szkoła Podstawowa Nr 86, ul. Koryncka 33, 04-686 Warszawa",697,352,54,613
"Szkoła Podstawowa Nr 9 im. 25 Dywizji Piechoty Ziemi Kaliskiej, ul. Żwirki i Wigury 13, 62-800 Kalisz",707,397,29,730
"Szkoła Podstawowa Nr 9 im. Marii Skłodowskiej-Curie, ul. Mostowa 6, 05-800 Pruszków",680,526,101,922
"Szkoła Podstawowa Nr 9 im. Mikołaja Kopernika, hol (parter), ul. Ludwika Zamenhofa 14, 10-280 Olsztyn",592,308,48,694
"Szkoła Podstawowa Nr 9, ul. Księżnej Dąbrówki 10, 71-826 Szczecin",626,354,127,825
"Szkoła Podstawowa Nr 9, ul. Panewnicka 172, 40-772 Katowice",784,311,237,519
"Szkoła Podstawowa Nr 9, ul. Rzepakowa 7/9, 87-100 Toruń",1456,723,1181,1278
"Szkoła Podstawowa Nr 92, ul. Przasnyska 18A, 01-756 Warszawa",789,436,460,686
"Szkoła Podstawowa Nr 96, ul. Krakowska 2, 50-425 Wrocław",804,369,591,750
"Szkoła Podstawowa Specjalna nr 111 im. Stefana Starzyńskiego, ul. Różana 22/24, 02-569 Warszawa",684,277,270,510
"Szkoła Podstawowa i Liceum Ogólnokształcące „EUREKA”, os. Przyjaźni 136, 61-686 Poznań",1067,373,793,636
"Szkoła Podstawowa im. Adama Mickiewicza, ul. Tysiąclecia 11, 84-360 Łeba",574,209,180,601
"Szkoła Podstawowa im. Armii Krajowej, ul. Szkolna 2, 05-110 Jabłonna",2151,1251,1607,2362
"Szkoła Podstawowa im. Astrid Lindgren w Dąbrowie, Dąbrowa ul. Szkolna 41, 62-070 Dopiewo",814,180,280,452
"Szkoła Podstawowa im. Bolesława Krzywoustego w Kamieńcu Wrocławskim, ul. Kolejowa 8, 55-002 Kamieniec Wrocławski",924,412,437,786
"Szkoła Podstawowa im. Henryka Sienkiewicza, ul. Polna 40, 05-082 Stare Babice",1794,787,1701,1425
"Szkoła Podstawowa im. Ignacego Krasickiego w Straszynie, ul. Starogardzka 48, 83-010 Straszyn",1556,509,530,1078
"Szkoła Podstawowa im. Jana Pawła II w Grzędzicach, ul. Gryfa 6, 73-110 Grzędzice",597,210,25,506
"Szkoła Podstawowa im. Jana Pawła II, ul. Sportowa 27, 78-131 Dźwirzyno",546,322,371,839
"Szkoła Podstawowa im. Janusza Korczaka w Krynicy Morskiej, ul. Gdańska 55a, 82-120 Krynica Morska",925,444,875,96
