address,Trzaskowski_first,Nawrocki_first,Trzaskowski_second,Nawrocki_second
"Centrum Kultury, ul. Kościuszki 49, 05-500 Piaseczno",576,323,0,606
"Centrum Opieki Medycznej w Jarosławiu, ul. 3-go Maja 70, 37-500 Jarosław",22,44,20,68
"Centrum Organizacji Pozarządowych w Luboniu, ul. gen. Władysława Sikorskiego 3, 62-030 Luboń",692,217,38,399
"Centrum Sportowe, ul. Katowicka 95, 61-131 Poznań",915,179,822,437
"Centrum Usług Społecznych, ul. 6 Marca 35, 76-032 Mielno",587,266,270,686
"Cuprum-Med Spółka z o. o., ul. Marii Skłodowskiej-Curie 70, 59-300 Lubin",10,5,7,8
"DODR we Wrocławiu Obiekt Hotelowy AGRO, ul. Zwycięska 4, 53-033 Wrocław",669,159,230,396
"Dolnośląski Ośrodek Pielęgnacyjno-Rehabilitacyjny ""Niebieski Parasol"", ul. Szpitalna 20, 59-225 Chojnów",5,3,4,4
"Dolnośląski Specjalny Ośrodek Szkolno-Wychowawczy nr 13 dla Uczniów Niewidomych i Słabowidzących oraz z innymi niepełnosprawnościami im. Marii Grzegorzewskiej we Wrocławiu, ul. Kamiennogórska 16, 54-034 Wrocław",484,226,25,504
"Dolnośląskie Centrum Chorób Serca im. prof. Zbigniewa Religi-Medinet Sp. z o. o., ul. Henryka Michała Kamieńskiego 73a, 51-124 Wrocław",17,16,15,25
"Dom Emeryta w Brańszczyku, ul. Jana Pawła II 1, 07-221 Brańszczyk",4,25,3,34
"Dom Kultury "" Włochy"", ul. Bolesława Chrobrego 27, 02-479 Warszawa",648,171,56,340
"Dom Kultury Portiernia, ul. Traktorzystów 20, 02-495 Warszawa",548,167,380,459
"Dom Kultury w Lipniku, ul. Podgórna 29, 43-300 Bielsko-Biała",630,457,74,811
"Dom Kultury, ul. Czerwonych Kosynierów 19, 76-270 Ustka",754,353,206,620
"Dom Muz-Filia Rudak, ul. Okólna 169, 87-100 Toruń",1162,391,965,887
"Dom Osiedlowy, ul. Zjednoczenia 4, 62-003 Biedrusko",889,211,381,530
"Dom Pomocy Społecznej Nr 1 w Krośnie, ul. Franciszka Żwirki i Stanisława Wigury 4a, 38-400 Krosno",15,22,13,29
"Dom Pomocy Społecznej Stowarzyszenia na rzecz Osób Starszych i Niepełnosprawnych Fizycznie, Intelektualnie, Osób Chorych Psychicznie oraz Osób Uzależnionych od Alkoholu ""Pomocna Dłoń"", ul. Strzelców Bytomskich 450, 41-935 Bytom",3,1,0,1
"Dom Pomocy Społecznej dla Kombatantów, ul. Powstańców Śląskich 4, 35-610 Rzeszów",568,514,41,121
"Dom Pomocy Społecznej dla Osób w Podeszłym Wieku oraz Osób Niepełnosprawnych Fizycznie w Rzeszowie, ul. mjr. Henryka Sucharskiego 1, 35-225 Rzeszów",5,11,4,13
"Dom Pomocy Społecznej dla osób przewlekle psychicznie chorych w Ząbkowicach Śląskich, ul. Szpitalna 3, 57-200 Ząbkowice Śląskie",9,2,6,3
"Dom Pomocy Społecznej i Zakład Opiekuńczo-Leczniczy w Zatorze, ul. Jana Pawła II 3, 32-640 Zator",10,7,7,11
"Dom Pomocy Społecznej im. dr. Józefa Marcelego Kopicza w Szpęgawsku, ul. Kasztanowa 23, 83-200 Szpęgawsk",7,12,6,32
"Dom Pomocy Społecznej im. prof. Antoniego Kępińskiego, ul. Jagiellońska 76, 25-734 Kielce",12,10,11,15
"Dom Pomocy Społecznej w Cisewiu, Cisewie 35, 83-440 Cisewie",11,26,9,30
"Dom Pomocy Społecznej w Inowrocławiu, ul. Macieja Wierzbińskiego 49, 88-100 Inowrocław",20,11,18,24
"Dom Pomocy Społecznej w Klisinie Filia w Głubczycach, ul. Dworcowa 10, 48-100 Głubczyce",20,6,17,7
"Dom Pomocy Społecznej w Przatówku, Przatówek 1, 98-240 Szadek",2,6,1,10
"Dom Pomocy Społecznej w Rudkach, Rudki 89, 28-225 Szydłów",8,2,7,7
"Dom Pomocy Społecznej w Warzynie, Warzyn 1, 88-140 Gniewkowo",11,8,9,15
"Dom Pomocy Społecznej Św. Barbary, ul. Ogrodowa 1, 97-410 Kleszczów",7,5,5,21
"Dom Pomocy Społecznej św. Wincentego, ul. Powstańców 45, 41-500 Chorzów",12,12,10,21
"Dom Pomocy Społecznej „Jawor” w Jałówce, Jałówka ul. Leśna 11, 16-050 Michałowo",7,10,5,15
"Dom Pomocy Społecznej, Wiśnicze ul. Wiejska 42A, 44-187 Wielowieś",14,12,13,19
"Dom Pomocy Społecznej, ul. Mączna 3, 54-131 Wrocław",12,29,11,45
"Dom Pomocy Społecznej, ul. Nawojowska 159, 33-300 Nowy Sącz",5,15,4,22
"Dom Pomocy Społecznej, ul. Winiarska 26, 62-800 Kalisz",31,39,30,57
"Dom Seniora ""Pomocna Dłoń"" Caritas Archidiecezji Łódzkiej, Kaszewice 11A, 97-415 Kluki",6,5,5,6
"Dom Seniora - Sobięcin, ul. II Armii 4, 58-305 Wałbrzych",7,0,6,7
"Dom Strażaka w Hucie Poręby, Huta Poręby 30B, 36-245 Nozdrzec",7,44,5,69
"Dom Studencki Arka, ul. Karola Olszewskiego 25, 51-642 Wrocław",625,279,19,492
"Dom im. Błogosławionej Matki Teresy z Kalkuty, ul. Zwierzyniecka 22B, 39-400 Tarnobrzeg",8,29,6,35
"Dzienny Dom Pomocy Społecznej, ul. Księcia Józefa 1, 05-800 Pruszków",680,361,40,573
"Ekologiczna Szkoła Społeczna, ul. Kujawska 8A, 84-230 Rumia",761,332,281,670
"Filia Szkoła Podstawowa Nr 84 im. Waleriana Łukasińskiego, ul. Radzymińska 232, 03-611 Warszawa",884,421,300,709
"Filia Szkoły Podstawowej Nr 3, ul. Powstańców 60, 05-091 Ząbki",1233,628,303,1532
"Filia Szkoły Podstawowej nr 154, ul. Sprawna 35A, 03-147 Warszawa",1320,588,1191,1200
"Filia Żłobka Miejskiego nr 1 ""Króla Maciusia"" w Pruszczu Gdańskim, ul. Eugeniusza Romera 1, 83-000 Pruszcz Gdański",711,209,274,568
"Fundacja JiM, ul. Tatrzańska 105, 93-279 Łódź",633,329,69,588
"Fundacja Navicula Centrum, ul. Krzysztofa Cedry 2, 91-129 Łódź",909,367,437,704
"Gdańska Szkoła Szermierki, Gdańsk ul. VII Dwór 7, 80-301 Gdańsk 5",995,371,727,644
"Gdański Zespół Schronisk i Sportu Szkolnego Filia SSM, Gdańsk ul. Kartuska 245B, 80-122 Gdańsk 18",767,282,285,485
"Gminna Biblioteka Publiczna-Filia Turka, ul. Konwaliowa 3, 20-258 Turka",540,424,1,53
"Gminne Przedszkole w Zamieniu Oddziały Przedszkolne w Zgorzale, ul. Cyraneczki 8, 05-500 Zgorzała",673,202,261,580
"Gminny Ośrodek Kultury ""SOKÓŁ"", ul. Gdyńska 47, 62-004 Czerwonak",623,228,24,438
"Gminny Ośrodek Kultury w Dopiewcu, Dopiewiec ul. Szkolna 11, 62-070 Dopiewo",785,177,458,540
"Gminny Ośrodek Kultury w Stegnie, ul. Gdańska 60, 82-103 Stegna",592,284,10,626
"Gminny Ośrodek Kultury, Sportu i Rekreacji w Biszczy, Biszcza 50, 23-425 Biszcza",62,200,37,443
