id_first,address,Nawrocki_first,Trzaskowski_first,id_second,Nawrocki_second,Trzaskowski_second
1405866,"Zespół Szkolno-Przedszkolny w Smolcu, Smolec ul. Kościelna 2, 55-080 Kąty Wrocławskie",98,529,1468941,391,264
1405866,"Zespół Szkolno-Przedszkolny w Smolcu, Smolec ul. Kościelna 2, 55-080 Kąty Wrocławskie",98,529,1468950,458,73
1405874,"Szkoła Podstawowa im. UNICEF, Bielany Wrocławskie ul. Akacjowa 1, 55-040 Kobierzyce",200,724,1468959,435,132
1405874,"Szkoła Podstawowa im. UNICEF, Bielany Wrocławskie ul. Akacjowa 1, 55-040 Kobierzyce",200,724,1468970,212,679
1405883,"Zespół Szkolno-Przedszkolny, Wysoka ul. Chabrowa 99, 52-200 Wrocław",150,570,1468969,327,72
1405884,"Zespół Szkolno-Przedszkolny, Wysoka ul. Chabrowa 99, 52-200 Wrocław",112,659,1468969,327,72
1405885,"Szkoła Podstawowa im. UNICEF, Bielany Wrocławskie ul. Akacjowa 1, 55-040 Kobierzyce",104,488,1468959,435,132
1405913,"Centrum Kultury Klub Tęcza, ul. Główna 82, 55-010 Święta Katarzyna",188,306,1468997,208,287
1405917,"Szkoła Podstawowa Nr 2 w Siechnicach, ul. Osiedlowa 2, 55-011 Siechnice",200,532,1469003,529,12
1405917,"Szkoła Podstawowa Nr 2 w Siechnicach, ul. Osiedlowa 2, 55-011 Siechnice",200,532,1469004,358,448
1405918,"Szkoła Podstawowa Nr 2 w Siechnicach, ul. Osiedlowa 2, 55-011 Siechnice",174,265,1469003,529,12
1405921,"Urząd Miejski w Siechnicach, ul. Jana Pawła II 12, 55-011 Siechnice",219,546,1469007,588,64
1405937,"Świetlica w Karwianach, Karwiany ul. Majowa 3a, 52-200 Wrocław",167,628,1469023,379,17
1405942,"Gminne Centrum Kultury w Żórawinie, al. Niepodległości 6, 55-020 Żórawina",231,395,1469017,321,271
1405981,"Szkoła Podstawowa nr 3, ul. Władysława Orkana 32, 57-200 Ząbkowice Śląskie",213,306,1469066,203,253
1406063,"Szkoła Podstawowa Nr 1, ul. Szkolna 1, 59-930 Pieńsk",137,239,1469164,237,230
1406084,"Węglinieckie Centrum Kultury, ul. Plac Wolności 1, 59-940 Węgliniec",221,280,1469183,275,207
1406088,"Dom Kultury, ul. Strzelecka 3, 59-950 Ruszów",100,141,1469189,109,131
1406106,"Szkoła Podstawowa im. Sybiraków w Jerzmankach, Jerzmanki 43, 59-900 Zgorzelec",61,90,1469205,88,73
1406169,"Szkoła Podstawowa Nr 8, ul. Ignacego Paderewskiego 13, 58-506 Jelenia Góra",242,447,1469270,321,445
1406170,"Szkoła Podstawowa Nr 11, ul. Mieczysława Karłowicza 33, 58-506 Jelenia Góra",239,523,1469268,228,496
1406173,"Rewir II Dzielnicowych w Jeleniej Górze, ul. Jana Kiepury 32, 58-506 Jelenia Góra",262,734,1469275,483,44
1406212,"Miejskie Przedszkole Nr 18, ul. Leopolda Staffa 6, 59-220 Legnica",384,679,1469322,661,73
1406251,"Liceum Ogólnokształcące nr XVII, ul. Tęczowa 60, 53-603 Wrocław",203,594,1469363,545,501
1406251,"Liceum Ogólnokształcące nr XVII, ul. Tęczowa 60, 53-603 Wrocław",203,594,1469364,345,528
1406264,"Liceum Ogólnokształcące nr VII, ul. Jemiołowa 57, 53-426 Wrocław",204,453,1469377,295,448
1406266,"Szkoła Podstawowa nr 43 z Oddziałami Integracyjnymi, ul. Grochowa 36 - 38, 53-424 Wrocław",256,638,1469378,588,437
1406274,"Szkoła Podstawowa nr 82, ul. Blacharska 13, 53-206 Wrocław",231,860,1469386,415,320
1406274,"Szkoła Podstawowa nr 82, ul. Blacharska 13, 53-206 Wrocław",231,860,1469387,398,598
1406275,"Szkoła Podstawowa nr 82, ul. Blacharska 13, 53-206 Wrocław",208,975,1469386,415,320
1406275,"Szkoła Podstawowa nr 82, ul. Blacharska 13, 53-206 Wrocław",208,975,1469387,398,598
1406284,"Zespół Szkolno-Przedszkolny nr 8, ul. Składowa 2 - 4, 50-209 Wrocław",236,748,1469394,450,641
1406284,"Zespół Szkolno-Przedszkolny nr 8, ul. Składowa 2 - 4, 50-209 Wrocław",236,748,1469395,349,588
1406291,"Zespół Szkolno-Przedszkolny nr 11, ul. Strachocińska 155 - 157, 51-518 Wrocław",369,655,1469404,472,176
1406292,"Zespół Szkolno-Przedszkolny nr 11, ul. Strachocińska 155 - 157, 51-518 Wrocław",250,703,1469404,472,176
1406300,"Szkoła Podstawowa nr 78, ul. Jedności Narodowej 195, 50-303 Wrocław",212,486,1469413,483,203
1406300,"Szkoła Podstawowa nr 78, ul. Jedności Narodowej 195, 50-303 Wrocław",212,486,1469414,403,96
1406301,"Szkoła Podstawowa nr 78, ul. Jedności Narodowej 195, 50-303 Wrocław",227,518,1469413,483,203
1406301,"Szkoła Podstawowa nr 78, ul. Jedności Narodowej 195, 50-303 Wrocław",227,518,1469414,403,96
1406302,"Szkoła Podstawowa nr 78, ul. Jedności Narodowej 195, 50-303 Wrocław",209,571,1469413,483,203
1406302,"Szkoła Podstawowa nr 78, ul. Jedności Narodowej 195, 50-303 Wrocław",209,571,1469414,403,96
1406303,"Szkoła Podstawowa nr 1, ul. Nowowiejska 78, 50-315 Wrocław",229,394,1469417,182,386
1406304,"Szkoła Podstawowa nr 84, ul. Łukasza Górnickiego 20, 50-337 Wrocław",147,278,1469361,275,186
1406309,"Szkoła Podstawowa nr 84, ul. Łukasza Górnickiego 20, 50-337 Wrocław",212,399,1469361,275,186
1406314,"Szkoła Podstawowa nr 12, ul. Zygmunta Janiszewskiego 14, 50-372 Wrocław",289,445,1469427,482,60
1406315,"Szkoła Podstawowa nr 12, ul. Zygmunta Janiszewskiego 14, 50-372 Wrocław",239,517,1469427,482,60
1406321,"Zespół Szkół nr 9, ul. Rafała Krajewskiego 1, 51-690 Wrocław",195,614,1469433,373,20
1406322,"Zespół Szkolno-Przedszkolny nr 22, ul. Edwarda Dembowskiego 39, 51-670 Wrocław",176,468,1469437,585,395
